id,country,currency,code,symbol,thousand_separator,decimal_separator,created_at,updated_at,status
126,Uzbekistan,Sums,UZS,??,",",.,10/27/2022 18:21,10/27/2022 18:21,1
127,Vatican City,Euro,EUR,€,",",.,10/27/2022 18:21,10/27/2022 18:21,1
128,Venezuela,Bolivares Fuertes,VEF,Bs,",",.,10/27/2022 18:21,10/27/2022 18:21,1
129,Vietnam,Dong,VND,?,",",.,10/27/2022 18:21,10/27/2022 18:21,1
130,Yemen,Rials,YER,?,",",.,10/27/2022 18:21,10/27/2022 18:21,1
131,Zimbabwe,Zimbabwe Dollars,ZWD,Z$,",",.,10/27/2022 18:21,10/27/2022 18:21,1
132,Iraq,Iraqi dinar,IQD,?.?,",",.,10/27/2022 18:21,10/27/2022 18:21,1
133,Kenya,Kenyan shilling,KES,KSh,",",.,10/27/2022 18:21,10/27/2022 18:21,1
134,Bangladesh,Taka,BDT,?,",",.,10/27/2022 18:21,10/27/2022 18:21,1
135,Algerie,Algerian dinar,DZD,?.?," ,",.,10/27/2022 18:21,10/27/2022 18:21,1
136,United Arab Emirates,United Arab Emirates dirham,AED,AED,",",.,10/27/2022 18:21,10/27/2022 18:21,1
137,Uganda,Uganda shillings,UGX,USh,",",.,10/27/2022 18:21,10/27/2022 18:21,1
138,Tanzania,Tanzanian shilling,TZS,TSh,",",.,10/27/2022 18:21,10/27/2022 18:21,1
139,Angola,Kwanza,AOA,Kz,",",.,10/27/2022 18:21,10/27/2022 18:21,1
140,Kuwait,Kuwaiti dinar,KWD,KD,",",.,10/27/2022 18:21,10/27/2022 18:21,1
141,Bahrain,Bahraini dinar,BHD,BD,",",.,10/27/2022 18:21,10/27/2022 18:21,1
200,Syrian Pound,Ø§Ù„Ù„ÙŠØ±Ø© Ø§Ù„Ø³ÙˆØ±ÙŠØ©,SOR,SP,",",.,10/27/2022 18:21,10/27/2022 18:21,1
